"Team","season","TOI_all","Skater_TOI_EV","Skater_TOI_PP","Skater_TOI_SH","EV_GAR","PP_GAR","SH_GAR","Pens_GAR","Skater_GAR","Goalie_GAR","GAR","GPW","WAR"
"EDM","20082009",29061.3,18787.2,2836,2125.6,46.4,10.3,-6.2,13.1,63.6,29.2,93.2,5.45,16.6
"STL","20102011",29298.1,19942.8,2294.1,1778.5,56.8,15.8,2,10.8,85.4,1.4,87.3,5.23,16.6
"OTT","20152016",29295.3,20005,1990.6,1529.8,59.3,3.4,-7.1,10.9,66.5,19.2,85.3,5.1,16.5
"OTT","20112012",28936.7,19592.7,2162.7,1984.4,37.9,18.5,-1,4.7,60.1,23.5,83.5,5.09,16.3
"CAR","20112012",29316.7,20056.5,2334.6,1549.3,9.4,14,-11.6,22.2,34,48.5,82.7,5.09,16.2
"TOR","20122013",17094.1,11655.9,1267.7,1069.6,43.1,8.1,3.3,10.3,64.8,19,84.1,5.08,16.2
"NYR","20092010",29114.7,19371.9,2384,1988.9,14.2,14.8,-2.6,5.9,32.3,51.7,84.1,5.29,16.1
"CGY","20082009",28518.2,18337.4,2917.6,2205.2,66.4,5.7,-7,11.9,77,10.4,87.1,5.45,16
"MTL","20122013",17078.5,11313.1,1596.4,1062.1,51.9,18.3,-1.1,11.5,80.6,2.3,83.3,5.08,16
"CBJ","20152016",29226.4,19974.3,2012.4,1830.2,45.7,11.5,-2.9,7.5,61.8,20.4,82,5.1,15.9
"FLA","20112012",29578.6,20429.6,2353.2,1511.7,23.1,17.7,-1.9,19.2,58.1,22.4,80.2,5.09,15.6
"L.A","20122013",17124.3,11776.5,1239.1,1015.6,46.4,13.4,-0.4,9.1,68.5,10.4,79.3,5.08,15.6
"N.J","20072008",29174.5,18536.2,2575.3,1990.9,38,5.1,-0.1,8.8,51.8,29,80.9,5.2,15.6
"NYR","20122013",17236.9,11911.2,1292.1,939.7,32.4,3.4,-1.8,10.2,44.2,35.1,79.7,5.08,15.6
"WSH","20122013",17097.3,11725.4,1279.4,1043.7,42,21.7,-6.2,5,62.5,15.6,78.4,5.08,15.6
