player,season,team_one,team_two,team_three,games_played,toi,war_82,games_missed
JEFF.ZATKOFF,2016-2017,LAK,none,none,13,550.4,-9.97,69
JEREMY.SMITH,2016-2017,COL,none,none,10,542.72,-10.17,72
JHONAS.ENROTH,2016-2017,TOR,none,none,6,274.43,-8.2,76
JIMMY.HOWARD,2016-2017,DET,none,none,26,1396.72,4.7,56
JOHN.GIBSON,2016-2017,ANA,none,none,68,3829.07,6.51,14
JONAS.GUSTAVSSON,2016-2017,EDM,none,none,7,328.97,-11.83,75
JONATHAN.BERNIER,2016-2017,ANA,none,none,43,2175.77,3.18,39
JONATHAN.QUICK,2016-2017,LAK,none,none,17,930.95,6.42,65
JON.GILLIES,2016-2017,CGY,none,none,1,60,15.58,81
JOONAS.KORPISALO,2016-2017,CBJ,none,none,14,790.52,1.82,68
JUSTIN.PETERS,2016-2017,ARI,none,none,3,132.92,-1.64,79
JUUSE.SAROS,2016-2017,NSH,none,none,23,1256.45,2.17,59
KARI.LEHTONEN,2016-2017,DAL,none,none,59,3177.15,1.5,23
KEITH.KINKAID,2016-2017,NJD,none,none,26,1476.08,1.8,56
KRISTERS.GUDLEVSKIS,2016-2017,TBL,none,none,1,11.45,2.46,81
LAURENT.BROSSOIT,2016-2017,EDM,none,none,9,359.58,2.46,73
LINUS.ULLMARK,2016-2017,BUF,none,none,1,58.73,1.64,81
LOUIS.DOMINGUE,2016-2017,ARI,none,none,31,1598.68,0.37,51
MAGNUS.HELLBERG,2016-2017,NYR,none,none,2,78.52,1.64,80
MALCOLM.SUBBAN,2016-2017,BOS,none,none,1,30.6,-24.6,81
MARC-ANDRE.FLEURY,2016-2017,PIT,none,none,53,2991.77,1.81,29
MAREK.LANGHAMER,2016-2017,ARI,none,none,1,15.52,-4.1,81
MAREK.MAZANEC,2016-2017,NSH,none,none,4,177.58,-20.3,78
MARTIN.JONES,2016-2017,S.J,none,none,70,4116.02,2.71,12
MATTHEW.MURRAY,2016-2017,PIT,none,none,60,3434.67,5.82,22
MICHAEL.HUTCHINSON,2016-2017,WPG,none,none,28,1378.33,-3.48,54
MICHAEL.LEIGHTON,2016-2017,CAR,none,none,4,210.28,-9.43,78
MICHAL.NEUVIRTH,2016-2017,PHI,none,none,28,1363.63,-6.24,54
MIKE.CONDON,2016-2017,OTT,none,none,43,2385.28,1.68,39
MIKE.SMITH,2016-2017,ARI,none,none,55,3202.08,2.1,27
ONDREJ.PAVELEC,2016-2017,WPG,none,none,8,439.45,-10.25,74
PEKKA.RINNE,2016-2017,NSH,none,none,83,4836.52,2.73,-1
PETER.BUDAJ,2016-2017,LAK,none,none,60,3308.27,1.6,22
PETR.MRAZEK,2016-2017,DET,none,none,50,2857.52,-2.62,32
PHEONIX.COPLEY,2016-2017,STL,none,none,1,58.93,-25.42,81
PHILIPP.GRUBAUER,2016-2017,WSH,none,none,25,1283.13,4.95,57
RETO.BERRA,2016-2017,FLA,none,none,7,313.12,-7.5,75
RICHARD.BACHMAN,2016-2017,VAN,none,none,5,295.18,2.13,77
ROBERTO.LUONGO,2016-2017,FLA,none,none,40,2327.17,0.84,42
ROBIN.LEHNER,2016-2017,BUF,none,none,59,3405.47,1.64,23
RYAN.MILLER,2016-2017,VAN,none,none,54,3211.83,1.09,28
SCOTT.DARLING,2016-2017,CHI,none,none,32,1688.58,2.92,50
SEMYON.VARLAMOV,2016-2017,COL,none,none,24,1347.78,-8.61,58
SERGEI.BOBROVSKY,2016-2017,CBJ,none,none,68,4016.27,11.99,14
SPENCER.MARTIN,2016-2017,COL,none,none,3,179.43,-31.16,79
STEVE.MASON,2016-2017,PHI,none,none,58,3224.52,-0.17,24
THOMAS.GREISS,2016-2017,NYI,none,none,51,2813.28,1.78,31
TRISTAN.JARRY,2016-2017,PIT,none,none,1,58.75,1.64,81
TUUKKA.RASK,2016-2017,BOS,none,none,71,4061.93,1.56,11
ZANE.MCINTYRE,2016-2017,BOS,none,none,8,332.62,-11.69,74
AARON.DOWNEY,2007-2008,DET,none,none,56,255.8,-0.56,26
AARON.JOHNSON,2007-2008,NYI,none,none,30,415.85,-1.42,52
AARON.MILLER,2007-2008,VAN,none,none,57,987.62,-1.34,25
AARON.ROME,2007-2008,CBJ,none,none,17,309.03,0.1,65
AARON.VOROS,2007-2008,MIN,none,none,59,550.93,-1.33,23
AARON.WARD,2007-2008,BOS,none,none,71,1473.12,-1,11
ADAM.BURISH,2007-2008,CHI,none,none,80,938.38,-0.16,2
ADAM.FOOTE,2007-2008,COL,none,none,85,1966.65,-0.4,-3
ADAM.HALL,2007-2008,PIT,none,none,63,732.78,-1.09,19
ADAM.MAIR,2007-2008,BUF,none,none,70,630.32,-0.47,12
ADRIAN.AUCOIN,2007-2008,CGY,none,none,83,1718.27,0.72,-1
ALAIN.NASREDDINE,2007-2008,PIT,none,none,6,77.3,-0.55,76
